 ,,Composition (at%),,,,,,,,,,,,,,Processing,,20 C=RT,,,,,,,,,,Phases,,,,,,,,,,,Properties,,,,,,,,,,,,,,,
Investigation on effect of L12 and B2 phases,Al0.3CoCrFeNi_A-500S,23,23,23,0,23,7,0,0,0,0,0,0,0,0,Yes,1150 °C,24 h,Yes (cold rolling),20 °C,90%,Yes,1100 °C,5 min,1,500 °C,48 h,"1 (face‑centered cubic, FCC)",91.9,1 (L12),2,8.1,,,,,,,751,,352,,,45,,,,,,,,,,
Investigation on effect of L12 and B2 phases,Al0.3CoCrFeNi_A-500L,23,23,23,0,23,7,0,0,0,0,0,0,0,0,Yes,1150 °C,24 h,Yes (cold rolling),20 °C,90%,Yes,1100 °C,5 min,1,500 °C,144 h,Face‑Centered Cubic (FCC) → Code 1,91,L12 phase → Code 1,2.3,8.9,B2 phase → Code 3,,,,,,772,,365,,,45,,,,,,,,,,
Investigation on effect of L12 and B2 phases,Al0.3CoCrFeNi_A-650S,23,23,23,0,23,7,0,0,0,0,0,0,0,0,Yes,1150 °C,24 h,Yes (cold rolling),20 °C,90%,Yes,1100 °C,5 min,1,650 °C,48 h,"1 (face‑centered cubic, FCC)",,1 (L12),10,14,3 (B2),,,,,,845,,433,,,38,,,,,,,,,,
Investigation on effect of L12 and B2 phases,Al0.3CoCrFeNi_B-500S,23,23,23,0,23,7,0,0,0,0,0,0,0,0,Yes,1150 °C,24 h,Yes (cold rolling),20 °C,90%,Yes,750 °C,96 h,1,500 °C,48 h,Face‑Centered Cubic (FCC) [Classification Code: 1],82.7,B2 (ordered body‑centered; classified here as 'B2'),350,17.3,σ (σ phase → Code: 6),350,,,,,1026,,759,,,28,,,,,,,,,,
Investigation on effect of L12 and B2 phases,Al0.3CoCrFeNi_B-500L,23,23,23,0,23,7,0,0,0,0,0,0,0,0,Yes,1150 °C,24 h,Yes (cold rolling),20 °C,90%,Yes,750 °C,96 h,1,500 °C,144 h,Face‑Centered Cubic (FCC),83.5,B2 phase,350,16.5,σ phase,350,,,,,1014,,747,,,27,,,,,,,,,,
Investigation on effect of L12 and B2 phases,Al0.3CoCrFeNi_B-600S,23,23,23,0,23,7,0,0,0,0,0,0,0,0,Yes,1150 °C,24 h,Yes (cold rolling),20 °C,90%,Yes,750 °C,96 h,1,600 °C,48 h,Face‑centered cubic (code 1),83.2,B2 phase (code 3),310,16.8,σ phase (code 6),310,,,,,985,,722,,,32,,,,,,,,,,
Investigation on effect of L12 and B2 phases,Al0.3CoCrFeNi_B-650S,23,23,23,0,23,7,0,0,0,0,0,0,0,0,Yes,1150 °C,24 h,Yes (cold rolling),20 °C,90%,Yes,750 °C,96 h,1,650 °C,48 h,Face‑Centered Cubic (FCC) – (classified as 1),82,B2 phase – (classified as 3),350,17.9,σ phase – (classified as 6),350,,,,,1000,,725,,,28,,,,,,,,,,
Mechanical properties and microstructure evolution of lightweight,Ti45V45Cr5Al5 MPEA (as-cast),0,0,0,0,4.84,4.97,44.87,0,0,45.32,0,0,0,0,0,,,0,,,0,,,0,,,Body‐Centered Cubic (BCC) (classification code 2),100,0,,,,,,,,,,,828.7,,,17.8,,,,,,,,,,
Mechanical properties and microstructure evolution of lightweight,Ti45V45Cr5Al5 MPEA (CR),0,0,0,0,5,5,45,0,0,45,0,0,0,0,0,,,1,20,87,0,,,0,,,Body‐Centered Cubic (BCC) (classification code 2),100,0,,,,,,,,,,,1326.8,,,,,,,,,,,,,
Mechanical properties and microstructure evolution of lightweight,Ti45V45Cr5Al5 MPEA (CR-700),0,0,0,0,5,5,45,0,0,45,0,0,0,0,0,,,1,20,87,1,700,60,0,,,Body‐Centered Cubic (BCC),98,HCP-Ti,100,2,,,,,,,,,1026.9,,,,,,,,,,,,,
Mechanical properties and microstructure evolution of lightweight,Ti45V45Cr5Al5 MPEA (CR-800),0,0,0,0,5,5,45,0,0,45,0,0,0,0,0,,,1,20,87,1,800,60,0,,,Body‐Centered Cubic (BCC),98,FCC-Ti,100,2,,,,,,,,,993.7,,,24,,"400°C, 600°C,800°C: 314.3 MPa",400°C: 34%; 600°C:41%; 800°C: 67%,,,,,,,
Mechanical properties and microstructure evolution of lightweight,Ti45V45Cr5Al5 MPEA (CR-1000),0,0,0,0,5,5,45,0,0,45,0,0,0,0,0,,,1,20,87,1,1000,60,0,,,BCC (code 2),more than 97%,FCC-Ti phase,100,less than 3%,,,,,,,,,970.3,,,27.9,,,,,,,,,,
Multi-principal element alloy with ultrafine and high-density,FeCoNi3Cu0.5Al0.8_C0.8,15.9,47.6,15.9,0,0,12.7,0,7.9,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‑Centered Cubic (FCC) – Dual FCC structure,Nearly 100%,L12 phase,,,,,,,,,736,,382,,267,59.1,,,,,,,,,,
Multi-principal element alloy with ultrafine and high-density,FeCoNi3Cu0.5Al0.8_A0.8,15.9,47.6,15.9,0,0,12.7,0,7.9,0,0,0,0,0,0,0,,,0,,,0,,,1,850°C,1 hr,Face‑Centered Cubic (FCC),35%,L12 phase,Approximately 100 nm,65%,,,,,,,900,,632,,470,28.1,,,,,,,,,,
Non-coherent nano-precipitation weakens ductile refractory,RA-0.5V,0,0,0,0,0,7.69,46.15,0,0,7.69,7.69,0,0,0,0,,,0,,,0,,,0,,,Body‑Centered Cubic (BCC) – (classification value 2),100,0,,,,,,,,,,1457,833,779,,8.1,>50%,"873K, 1073K","873 K: Yield strength = 459 MPa, Ultimate strength = 497 MPa
1073 K: Yield strength = 63 MPa, Ultimate strength = 71 MPa",,,,Zr=30.77,,,
Non-coherent nano-precipitation weakens ductile refractory,RA-1.0V,0,0,0,0,0,7.14,42.86,0,0,14.29,7.14,0,0,0,0,,,0,,,0,,,0,,,Body‑Centered Cubic (classification value 2),100,0,,,,,,,,,1066,1612,911,974,,8.7,>50,"873K, 1073 K","873 K: Yield_Strength:645,88
1073 K: Ultimate_Strength：701,107",>50,,,Zr=28.6,,,
Non-coherent nano-precipitation weakens ductile refractory,RA-1.5V,0,0,0,0,0,6.67,40,0,0,20,6.67,0,0,0,0,,,0,,,0,,,0,,,Body‑Centered Cubic (BCC) → (classification “2”),>90%,Hexagonal (Al–Zr intermetallic phase; classified as HCP with classification “10”),60,few to ~10%,,,,,,,222,1592,,1037,,,>50%,"873K, 1073 K","873 K: Yield strength = 506 MPa, Ultimate strength = 570 MPa
1073 K: Yield strength = 80 MPa, Ultimate strength = 100 MPa",,,,Zr=26.67,,,
Serration behavior and brittle phase,Bulk Al₀.₃CoCrFeNi alloy,23.3,23.3,23.3,0,23.3,7,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) (Classified as 1),99.3,Ordered B2 phase (NiAl‐type structure) (Classified as 3),,0.7,,,,,,,,,,,,,,700,Tensile Yield Strength = 238 MPa; Ultimate Tensile Strength = 390 MPa,,,,,,,
The effect of the interaction between recrystallization and precipitation,Al0.3CoCrFeNi_A700,26.6,20.6,24.5,0,24.1,4.4,0,0,0,0,0,0,0,0,1,1250,24 hr,1,20,Approximately 85–90% reduction (severe cold rolling),1,700,60 min (1 h),0,,,Face–centered cubic (FCC) [Classification code: 1],82.7,B2 (Type–I) [code: 3],249,,B2 (Type–II) [code: 3],100,,B2 (Type–III) [code: 3],,,1270,,1216,,,11,,,,,,,,,,
The effect of the interaction between recrystallization and precipitation,Al0.3CoCrFeNi_A750,25.5,21.6,23.9,0,24.1,4.7,0,0,0,0,0,0,0,0,1,1250,24 hr,1,20,Approximately 85–90% reduction (severe cold rolling),1,750,60 min (1 h),0,,,"Face–Centered Cubic (FCC), Classification code: 1",85,"B2 (Type–I B2), Classification code: 3, Morphology: Equiaxed or ellipsoidal (formed along grain boundaries in the partially recrystallized region)",249,Not separated individually; overall B2 phase content is ~14.7%,"B2 (Type–II B2), Classification code: 3, Morphology: Equiaxed or ellipsoidal (formed within FCC grains in partially recrystallized regions)",100,,"B2 (Type–III B2), Classification code: 3, Morphology: Needle–like or elongated (located in non–recrystallized regions)",,,1135,,1040,,,22,,,,,,,,,,
The effect of the interaction between recrystallization and precipitation,Al0.3CoCrFeNi_A800,25.3,21.6,23.6,0,24.3,5,0,0,0,0,0,0,0,0,1,1250,24 hr,1,20,Approximately 85–90% reduction (severe cold rolling),1,800,60 min (1 h),0,,,Face–Centered Cubic (FCC) [Classification: 1],86.4,B2 [Type I; Classification: 3],249,,B2 [Type II; Classification: 3],100,,B2 [Type III; Classification: 3],,,,,847,,,,,,,,,,,,,
The effect of the interaction between recrystallization and precipitation,Al0.3CoCrFeNi_A850,25,22.3,23.3,0,23.7,5.4,0,0,0,0,0,0,0,0,1,1250,24 hr,1,20,Approximately 85–90% reduction (severe cold rolling),1,850,60 min (1 h),0,,,FCC,92.3,B2,249,,B2,100,,B2,,,,,602,,,,,,,,,,,,,
"The influence of microstructural evolutions on electrochemical corrosion 
and passive behavior in precipitation-strengthened high-entropy alloys",HEA (Ni2Co2FeCr)92Al4Nb4 - Recrystallized single‐phase FCC (Precipitate‐free),15.3,30.7,30.7,0,15.3,4,0,0,0,0,4,0,0,0,Yes,1200,2 hours,Yes,20,~65%,Yes,1200,1.5 minutes,0,,,FCC (1),100%,,,,,,,,,,,,,,,,,,,,,,,,,
"The influence of microstructural evolutions on electrochemical corrosion 
and passive behavior in precipitation-strengthened high-entropy alloys",HEA (Ni2Co2FeCr)92Al4Nb4 - L12-strengthened variant,15.3,30.7,30.7,0,15.3,4,0,0,0,0,4,0,0,0,Yes,1200,2 hours,Yes,20,~65%,Yes,1200,1.5 minutes,1,700,32 hours,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
"The influence of microstructural evolutions on electrochemical corrosion 
and passive behavior in precipitation-strengthened high-entropy alloys",HEA (Ni2Co2FeCr)92Al4Nb4 - D019-strengthened variant,15.3,30.7,30.7,0,15.3,4,0,0,0,0,4,0,0,0,Yes,1200,2 hours,Yes,20,~65%,Yes,1200,1.5 minutes,1,900,32 hours,1,,D019 (Ti₃Al‐type lamellar precipitate),74,,,,,,,,,,,,,,,,,,,,,,,
Ultra-high ratio of ultimate strength to yield strength,AlTi-12 h,5,50,20,0,10,10,5,0,0,0,0,0,0,0,Yes,1250,4,0,,,0,,,1,step 1: 1050; step 2: 850,step 1: 4; step 2: 12,Face-centered cubic (FCC) → Code 1,,L12 precipitate (superlattice) → Code 1,53.2,,L12 precipitate (superlattice) → Code 1,366,,,,,,2883,,801,,,36.2,,,,,,,,,
Ultra-high ratio of ultimate strength to yield strength,AlTi-36 h,5,50,20,0,10,10,5,0,0,0,0,0,0,0,Yes,1250,4,0,,,0,,,1,step 1: 1050; step 2: 850,step 1: 4; step 2: 36,Face‐Centered Cubic (FCC),,L12 (ordered precipitate),53.2,,L12 (ordered precipitate),366,,,,,,,,,,,,,,,,,,,,
Ultra-high ratio of ultimate strength to yield strength,AlTi-64 h,5,50,20,0,10,10,5,0,0,0,0,0,0,0,Yes,1250,4,0,,,0,,,1,step 1: 1050; step 2: 850,step 1: 4; step 2: 64,Face‐centered cubic (FCC) (Code = 1),,L12 (ordered intermetallic) (Code = 1),53.2,,L12 (ordered intermetallic) (Code = 1),366,,,,,,,,,,,,,,,,,,,,
Ultra-high ratio of ultimate strength to yield strength,AlTi-108 h,5,50,20,0,10,10,5,0,0,0,0,0,0,0,Yes,1250,4,0,,,0,,,1,step 1: 1050; step 2: 850,step 1: 4; step 2: 108,Face-Centered Cubic (FCC),,L12 (ordered precipitate),53.2,,L12 (ordered precipitate),366,,,,,,,,,,,,,,,,,,,,
Tensile deformation behavior and strengthening mechanism of a Fe2.5Ni2.5CrAl multi-principal element alloy,Fe2.5Ni2.5CrAl MPEA (as‐cast),35.7,35.7,0,0,14.3,14.3,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) → Code 1,81.8,Body‐centered cubic (BCC) → Code 7,,5.1,B2 (ordered structure) → Code 3,,13.1,,,,929.1,,596.3,,,,,,,,,,,,,
Short-Term Splitting and Long-Term Stability of Cuboidal Nanoparticles in Ni44Co22Cr22Al6Nb6 MultiPrincipal Element Alloy,Ni44Co22Cr22Al6Nb6 MPEA - Homogenized,0,44,22,0,22,6,0,0,0,0,6,0,0,0,1,1200,2 h,0,,,0,,,0,,,Face‐Centered Cubic (FCC) (Classification: 1),100%,,,,,,,,,,,,,,,,,,,,,,,,,
Short-Term Splitting and Long-Term Stability of Cuboidal Nanoparticles in Ni44Co22Cr22Al6Nb6 MultiPrincipal Element Alloy,Ni44Co22Cr22Al6Nb6 MPEA - Aged 10h 800°C,0,44,22,0,22,6,0,0,0,0,6,0,0,0,1,1200,2 h,0,,,0,,,1,800 °C,10 h,Face‐Centered Cubic (FCC) (Classification: 1),,"L12 nanoparticles (Ni3(Al, Nb)-type) (Classification: 1)","Approximately 220–320 nm, butterfly-shaped",,,,,,,,,,745,,,,,,,,,,,,,
Short-Term Splitting and Long-Term Stability of Cuboidal Nanoparticles in Ni44Co22Cr22Al6Nb6 MultiPrincipal Element Alloy,Ni44Co22Cr22Al6Nb6 MPEA - Aged 24h 800°C,0,44,22,0,22,6,0,0,0,0,6,0,0,0,1,1200,2 h,0,,,0,,,1,800 °C,24 h,Face‐Centered Cubic (FCC) (Classification: 1),,"L12 nanoparticles (Ni3(Al, Nb)-type) (Classification: 1)",,,,,,,,,,,801,,,,,,,,,,,,,
Short-Term Splitting and Long-Term Stability of Cuboidal Nanoparticles in Ni44Co22Cr22Al6Nb6 MultiPrincipal Element Alloy,Ni44Co22Cr22Al6Nb6 MPEA - Aged 48h 800°C,0,44,22,0,22,6,0,0,0,0,6,0,0,0,1,1200,2 h,0,,,0,,,1,800 °C,48 h,Face‐Centered Cubic (FCC) (Classification: 1),,"L12 nanoparticles (Ni3(Al, Nb)-type) (Classification: 1)",,,,,,,,,,,843,,,,,,,,,,,,,
Short-Term Splitting and Long-Term Stability of Cuboidal Nanoparticles in Ni44Co22Cr22Al6Nb6 MultiPrincipal Element Alloy,"Ni44Co22Cr22Al6Nb6 MPEA, Aged at 800°C for 200 h",0,44,22,0,22,6,0,0,0,0,6,0,0,0,1,1200,2 h,0,,,0,,,1,800,200 h,FCC (code 1),,L12 (code 1),,,,,,,,,,,,,,,,,,,,,,,,
